Sr_No,Startup_Name,Industry_Vertical,Sub_Vertical,City_Location,Investors_Name,Investment_Type,Amount_in_USD,Date,Remarks
673,CureFit,"Consumer Internet","End to End health and wellness platform.",Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund","Private Equity","2,50,00,000",2017-08-29,nan
674,Doxper,Technology,"Healthtech IoT platform",Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others","Seed Funding","7,50,000",2017-08-29,nan
675,Fieldassist,Technology,"SAAS based sales force automation services",Gurgaon,"Small Industries Development Bank of India (SIDBI)","Debt Funding",N/A,2017-08-29,nan
676,Treebo,"Consumer Internet","Budget Hotel Aggregator platform",Bangalore,"Ward Ferry Management and Karst Peak Capital,","Private Equity","3,40,00,000",2017-08-30,nan
677,MedGenome,Technology,"Genomics Research and Diagnostics Solutions",Bangalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,","Private Equity","3,00,00,000",2017-08-30,nan
678,"Billion Loans","Consumer Internet","Peer to Peer Lending platform",Bangalore,"Reliance Corporate Advisory Services Ltd","Seed Funding","10,00,000",2017-07-01,nan
679,Ecolibriumenergy,Technology,"Energy management solutions provider",Ahmedabad,"Infuse Ventures, JLL","Private Equity","26,00,000",2017-07-03,nan
680,Droom,eCommerce,"Online marketplace for automobiles",Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc","Private Equity","2,00,00,000",2017-07-04,nan
681,Jumbotail,eCommerce,"online marketplace for food and grocery",Bangalore,"Kalaari Capital, Nexus India Capital Advisors","Private Equity","85,00,000",2017-07-05,nan
682,Moglix,eCommerce,"B2B marketplace for Industrial products",Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway","Private Equity","1,20,00,000",2017-07-05,nan
683,Timesaverz,"Consumer Internet","Hyperlocal home services provider",Mumbai,BCCL,"Private Equity","10,00,000",2017-07-05,nan
684,Minjar,Technology,"Cloud Solutions provider",Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs","Seed Funding",N/A,2017-07-06,nan
685,MyCity4kids,"Consumer Internet","parenting blog and kids\\xe2\\x80\\x99 events discovery platform",Gurgaon,N/A,"Seed Funding",N/A,2017-07-06,nan
686,"Clip App","Consumer Internet","Digital Media Video platform",Bangalore,"India Quotient, Shunwei Capital","Seed Funding","10,00,000",2017-07-07,nan
687,Upwardly.in,"Consumer Internet","MF investment platform",Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures","Seed Funding",N/A,2017-07-07,nan
688,Autorox.co,Technology,"Workshop Management Software Platform",Hyderabad,"Mitsui & Co.","Private Equity","30,00,000",2017-07-10,nan
689,Fabogo,"Consumer Internet","Salon & Spa Aggregation & Discovery platform",Pune,"Dunamis Ventures Pte Ltd","Private Equity","22,50,000",2017-07-11,nan
690,Flickstree,"Consumer Internet","Video Content Discovery Platform",Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures","Seed Funding","4,64,000",2017-07-11,nan
691,"Design Cafe","Consumer Internet","Online Interior Design platform",Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital","Seed Funding",N/A,2017-07-11,nan
692,Innoviti,Technology,"Digital payments solutions",Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures","Private Equity","1,85,00,000",2017-07-12,nan
693,VDeliver,Logistics,"Door Step Delivery platform",Hyderabad,"Corvus Ventures, MAPE Advisory Group","Private Equity",N/A,2017-07-12,nan
694,Bottr.me,Technology,"Chatbot creation tool",Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta","Seed Funding",N/A,2017-07-12,nan
695,Arcatron,Technology,"Next Gen Mobility device manufacturer",Pune,"Indian Angel Network","Seed Funding",N/A,2017-07-12,nan
696,QwikSpec,Technology,"Construction site operations and analytics platform",Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen","Seed Funding","5,40,000",2017-07-14,nan
697,Chumbak,eCommerce,"Designer consumer products Marketplace",Bangalore,"Blacksoil Capital Pvt. Ltd","Private Equity","17,00,000",2017-07-14,nan
698,Increff,Technology,"Sales Solutions for Fashion Brands",Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das","Seed Funding","20,00,000",2017-07-17,nan
699,Vayana,Technology,"Enterprise Banking Solutions",Pune,"IDG Ventures India Advisors, Jungle Ventures","Private Equity","40,00,000",2017-07-17,nan
700,MObiquest,Technology,"Mobile Services & Solutions",Noida,"One97 Communication Ltd","Private Equity",N/A,2017-07-18,nan
701,Ambee,"Consumer Internet","Ambulance Aggregation Services",Hyderabad,"Uber Technologies Inc, Amaya Capital LLP","Seed Funding",N/A,2017-07-18,nan
702,"Ideal Insurance","Consumer Internet","Online Insurance platform",Kolkata,Xelpmoc,"Seed Funding",N/A,2017-07-18,nan
703,"Hypernova Interactive",Technology,"Mobile games creator",Bangalore,"Kae Capital","Seed Funding",N/A,2017-07-18,nan
704,Rentomojo,"Consumer Internet","Consumer Leasing Platform",Bangalore,"ain Capital Ventures, Renaud Laplanche","Private Equity","1,00,00,000",2017-07-19,nan
705,AirCTO,"Consumer Internet","AI powered recruitment platform",Bangalore,"Francesco Cara","Seed Funding",N/A,2017-07-19,nan
706,Playablo,Technology,"Gamified Learning App",Bangalore,"ABI-Showatech (India) Ltd","Seed Funding","6,00,000",2017-07-19,nan
707,Trupay,Technology,"Online payments platform",Gurgaon,"Kae Capital, M&S Partners,","Seed Funding","7,00,000",2017-07-20,nan
708,Brick2Wall,eCommerce,"Online Marketplace for Construction Material",Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others","Seed Funding","2,00,000",2017-07-21,nan
709,FableStreet,eCommerce,"Women Work wear etailer","New Delhi","Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others","Seed Funding",N/A,2017-07-21,nan
710,"Monsoon Fintech",Technology,"Machine Learning Access platform","New Delhi","Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan","Seed Funding",N/A,2017-07-21,nan
711,MonkeyBox,"Consumer Internet","Healthy Food Delivery Platform",Bangalore,"Blume Ventures, NB Ventures, Nspira","Seed Funding",N/A,2017-07-21,nan
712,Noticeboard,"Consumer Internet","Mobile-first Enterprise communication platform",Bangalore,"Stellaris Venture Partners,","Private Equity","12,00,000",2017-07-25,nan
713,Byju\\xe2\\x80\\x99s,"Consumer Internet","Mobile Learning App",Bangalore,"Tencent Holdings","Private Equity","3,50,00,000",2017-07-25,nan
714,"Creator\\xe2\\x80\\x99s Gurukul",Others,"Co-Working Space Provider","New Delhi","Yuvraj Singh","Seed Funding",N/A,2017-07-26,nan
715,"Fab Hotels","Consumer Internet","Budget hotels brand & Aggregator Platform","New Delhi","Goldman Sachs","Private Equity","2,50,00,000",2017-07-26,nan
716,ThinkerBell,"Consumer Internet","Assisted Learning Startup",Bangalore,"Indian Angel Network, Anand Mahindra","Seed Funding","2,00,000",2017-07-26,nan
717,1mg,eCommerce,"Online Pharmacy",Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital","Private Equity","1,50,00,000",2017-07-27,nan
718,Jhakaas,"Consumer Internet","App-based Aggregator of Offline Businesses",Mumbai,"Amen Dhyllon","Seed Funding",N/A,2017-07-28,nan
719,BigStylist,"Consumer Internet","Beauty Services Marketplace",Mumbai,"Info Edge (India) Ltd","Private Equity","12,50,000",2017-07-28,nan
720,Gympik.com,"Consumer Internet","online marketplace for discovering fitness centres",Bangalore,"RoundGlass Partners","Seed Funding",N/A,2017-07-28,nan
721,Tripeur,Technology,"Mobile based travel ERP platform",Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors","Seed Funding",N/A,2017-06-01,nan
722,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,"TVS Motor Company","Seed Funding","2,34,000",2017-06-02,nan
723,Goomo,"Consumer Internet","Online Travel & Holiday Booking platform",Mumbai,"Emerging India","Private Equity","5,00,00,000",2017-06-05,nan
724,MaxMyWealth,"Consumer Internet","Online Wealth Management & Savings platform",Mumbai,"lockchain ecosystem Global Advisors, Horseferry","Private Equity",N/A,2017-06-05,nan
725,Spinny,eCommerce,"Online Used Car marketplace",Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon","Private Equity","10,00,000",2017-06-06,nan
726,Healthbuds,"Consumer Internet","Healthcare Discovery & booking platform",Kolkata,"Arun Patodia, Bharat Kedia","Seed Funding",N/A,2017-06-06,nan
727,Ftcash,"Consumer Internet","Mobile Payments platform",Mumbai,"500 Startups, IvyCap Ventures","Private Equity",N/A,2017-06-06,nan
728,"BHIVE Workspace","Consumer Internet","co-working spaces",Bangalore,"Blume Ventures","Private Equity","12,00,000",2017-06-06,nan
729,wayForward,"Consumer Internet","Mobile app for Mental Health","New Delhi","Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan","Seed Funding","10,00,000",2017-06-06,nan
730,GyanDhan,"Consumer Internet","Education Marketplace","New Delhi","Sundaram Finance Holdings","Private Equity",N/A,2017-06-06,nan
731,"Hungry Foal","Consumer Internet","For profit Social Venture",Gurgaon,"SBI (Stand Up India Scheme)","Private Equity",N/A,2017-06-06,nan
732,ZipLoan,"Consumer Internet","Online lending platform","New Delhi","WaterBridge Ventures","Seed Funding","6,50,000",2017-06-07,nan
733,GrowFitter,"Consumer Internet","health and fitness discovery platform",Mumbai,"SQue Capital","Seed Funding","6,00,000",2017-06-07,nan
734,Stratfit,"Consumer Internet","Health coaching programs",Hyderabad,"Bodhtree Consulting Limited","Seed Funding","2,32,000",2017-06-08,nan
735,"Multiplier Solutions",Technology,"CRM Software for Healthcare space",Hyderabad,"Norwest Venture Partners","Private Equity","15,00,000",2017-06-08,nan
736,"ABI Health",Technology,"Unified Digital Health Platform",Bangalore,"Norwest Venture Partners","Private Equity","15,00,000",2017-06-08,nan
737,Stockal,"Consumer Internet","App-based Investment advisory Services",Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha","Seed Funding","3,50,000",2017-06-08,nan
738,Guidoo,"Consumer Internet","Travel & adventure planning platform",Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao","Seed Funding","3,00,000",2017-06-09,nan
739,eSahai.in,"Consumer Internet","ambulance aggregator and medical taxi provider",Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala","Seed Funding","2,50,000",2017-06-09,nan
740,Loanmeet,"Consumer Internet","Online peer-to-peer lending platform",Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,","Seed Funding",N/A,2017-06-12,nan
741,LendingKart,"Consumer Internet","Online Lending platform",Ahmedabad,"Yes Bank","Debt Funding","78,00,000",2017-06-12,nan
742,Boxx.ai,Technology,"Artificial Intelligence",Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava","Private Equity","5,00,000",2017-06-12,nan
743,PeeSafe.in,Healthcare,"Hygiene care product manufacturer","New Delhi","Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures","Private Equity","10,00,000",2017-06-12,nan
744,"Vista Rooms","Consumer Internet","Online rooms aggregation platform",Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham","Seed Funding","7,76,000",2017-06-12,nan
745,CoverFox,"Consumer Internet","Online insurance brokerage platform",Mumbai,Transamerica,"Private Equity","1,50,00,000",2017-06-12,nan
746,HyperTrack,Technology,"Location tracking solutions","New Delhi","Nexus Venture Partners, Founders Fund","Private Equity",N/A,2017-06-13,nan
747,Goodera,Technology,"CSR and sustainability management platform",Bangalore,"Nexus Venture Partners, Omidyar Network","Private Equity","55,00,000",2017-06-13,nan
748,Digit,Technology,"Tech driven Insurance platform",Bangalore,"Fairfax Holdings","Private Equity",N/A,2017-06-13,nan
749,Ola,"Consumer Internet","Cab Aggregation App",Bangalore,"Tekne Capital Management LLC","Private Equity","5,00,00,000",2017-06-14,nan
750,Vanitycask,"Consumer Internet","Beauty products discovery platform",Mumbai,"RB Investments","Seed Funding",N/A,2017-06-14,nan
751,MrNeeds,"Consumer Internet","Micro Food Delivery platform",Noida,"undisclosed investors","Seed Funding","5,00,000",2017-06-14,nan
752,MoneyTap,"Consumer Internet","Money Lending platform",Bangalore,"Sequoia India, NEA, Prime Venture Partners","Private Equity","1,23,00,000",2017-06-15,nan
753,Goodbox,eCommerce,"Mobile SAAS\\xc2\\xa0 ECommerce platform for SMEs",Bangalore,"Nexus Venture Partners, Mekin Maheshwari","Private Equity","10,00,000",2017-06-16,nan
754,Fincash,"Consumer Internet","Personal Finance platform",Mumbai,"Mohammed Khan, Sameer Narayan & Others","Seed Funding","1,00,000",2017-06-16,nan
755,PortDesk,Technology,"Maritime Solutions",Noida,"Alphard Maritime Group","Seed Funding","20,00,000",2017-06-16,nan
756,EdgeFx,eCommerce,"DIY project Kits seller",Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels","Seed Funding",N/A,2017-06-16,nan
757,EazyDiner,"Consumer Internet","Online Restaurant Reservation Platform",Gurgaon,"YouWeCan Ventures","Seed Funding",N/A,2017-06-16,nan
758,HealthIntel,Healthcare,"Online Pharmacy","New Delhi","BLIP Initiatives","Seed Funding",N/A,2017-06-16,nan
759,Unbxd,Technology,"Cloud-based product discovery platform",Bangalore,"Eight Roads Ventures","Private Equity","1,25,00,000",2017-06-19,nan
760,DarwinBox,Technology,"Enterprise human resources management platform",Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP","Private Equity","40,00,000",2017-06-19,nan
761,ForeverShop,"Consumer Internet","Mobile based ecommerce platform",Bangalore,91maker.com,"Seed Funding","3,00,000",2017-06-20,nan
762,Insider.in,"Consumer Internet","Events Ticketing platform",Mumbai,Paytm,"Private Equity","52,00,000",2017-06-20,nan
763,Fynd,eCommerce,"Fashion etailer",Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital","Private Equity","24,00,000",2017-06-21,nan
764,"Grow Fit","Consumer Internet","Health-Tech platform",Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust","Private Equity","45,00,000",2017-06-21,nan
765,Fabulyst,Technology,"Artificial Intelligence based platform",Hyderabad,iBhubs,"Seed Funding","2,15,000",2017-06-21,nan
766,mSwipe,Technology,"Point-of-Sale services",Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners","Private Equity","3,10,00,000",2017-06-21,nan
767,OneAssist,"Consumer Internet","Credit card fraud protection",Mumbai,"Sequoia Capital","Private Equity",N/A,2017-06-21,nan
768,"Julia Computing",Technology,"Open Source Language for Data Science and Machine Learning",Bangalore,"General Catalyst, Founder Collective","Private Equity","46,00,000",2017-06-22,nan
769,Kissht,"Consumer Internet","Consumer Lending platform",Mumbai,"Endiya Partners, Ventureast","Private Equity","20,00,000",2017-06-22,nan
770,"Explore Life traveling","Consumer Internet","Local homes booking platform",Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere","Seed Funding","5,00,000",2017-06-22,nan
771,Loantap,"Consumer Internet","Lending platform for salaried professionals",Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd","Private Equity","40,00,000",2017-06-23,nan
772,Voxweb,"Consumer Internet","Mobile based social networking platform",Mumbai,"Undisclosed investors","Seed Funding","10,00,000",2017-06-23,nan
773,"HUG Innovations",Technology,"Gesture based\\xc2\\xa0 Smartwatch manufacturer",Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon","Private Equity","50,00,000",2017-06-26,nan
774,Flipkart,eCommerce,"Online marketplace",Bangalore,Naspers,"Private Equity","7,10,00,000",2017-06-26,nan
775,"V Resorts","Consumer Internet","Holiday & Vacation resort aggregator",Noida,"Seedfund, RB International","Private Equity","40,00,000",2017-06-26,nan
776,Stashfin,"Consumer Internet","Personal Finance App","New Delhi","Snow Leopard Ventures, Alto Partners","Private Equity","50,00,000",2017-06-27,nan
777,Formcept,"Consumer Internet","Unified Data Analysis platform",Bangalore,"Gujarat Venture Finance Ltd","Private Equity",N/A,2017-06-27,nan
778,"Spares Hub",eCommerce,"Automobile parts marketplace",Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting","Seed Funding","3,11,000",2017-06-27,nan
779,FiTraQ,"Consumer Internet","Fitness Centre Discovery Platform","New Delhi","Aparup Sengupta, Devendra Reddy,","Seed Funding",N/A,2017-06-28,nan
780,Rubique,"Consumer Internet","Online Marketplace for financial products",Mumbai,"Kalaari Capital, Udayan Goyal","Private Equity","30,00,000",2017-06-28,nan
781,Niki.ai,"Consumer Internet","AI Based Personal Assistant",Bangalore,"SAP.iO, Unilazer Ventures","Private Equity","20,00,000",2017-06-28,nan
782,Fitpass,"Consumer Internet","Online Fitness Marketplace","New Delhi","Abhinav Bindra, Gaurav Marya","Private Equity","10,00,000",2017-06-29,nan
783,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,"Private Equity",N/A,2017-06-29,nan
784,"Tagos Design",Technology,"in-video discovery platform",Bangalore,"Undisclosed Investors","Private Equity","50,00,000",2017-06-30,nan
